ID,USERZIPCODE,PLATFORMTYPE,URL,KEYWORDS,TAXONOMY,IS_HCP
86730,50023,'Online Medical Journal',https://www.rheumatologyadvisor.com/home/news/early-screening-and-management-of-cardiovascular-risk-factors-important-in-psoriatic-arthritis-and-ankylosing-spondylitis/?utm_source=jungroup&utm_medium=ppc&utm_campaign=traffic-drivers-rheum&rwdd=1,Arthritis|Urology|Oncology|Rheumatology|Clinical|Total|Medicine|Cardiology|Neurology|Cardiovascular|Gastroenterology|Psychiatry|General|Ophthalmology|False|Rheumatoid|Dermatology,2084N0400X,1
27506,20720,'Online Medical Journal',https://www.clinicaladvisor.com/home/topics/neurology-information-center/nonarteritic-anterior-ischemic-optic-neuropathy-case-study/,'small|influenza|covid|nephrology|hepatology|corrective|oncology|copd|general|pain|disease|muscle weakness|health|covid-19|asthma|pain management|cardiology|the|clinical|hematology|dermatology|psoriasis|pediatrics|urology|redness|diabetes|hypertension|surgery|',207T00000X,1
74153,94578,'Online Medical Journal',https://www.clinicaladvisor.com/slideshow/dermatology-clinic/an-intensely-itchy-rash-on-the-abdomen/,Asthma|Neurology|Ophthalmology|General|Rheumatology|Hepatology|Seasonal|Diagnosis|Oncology|Autoimmune|Dermatology|Orthopedics|Pediatrics|Psychiatry|Clinical|False|Urology|Aged|Biopsy|Cardiovascular|Gastroenterology|Medicine|Dermatitis|Health|Allergic|Oral|Cardiology|Surgery|Behavior,2084N0400X,1
48957,60068,'Online Medical Journal',https://www.dermatologyadvisor.com/home/decision-support-in-medicine/dermatology/pemphigus-erythematosus/,'Medicine|Neutrophils|Dermatitis|Induced|Total|Dermatology|Urology|Angiotensin|Refractory|Rheumatology|Hypersensitivity|Arthritis|General|Obstetrical|Oral|Male|Necrolytic Migratory Erythema|Esophagus|Autoimmune|Biopsy|Cardiology|Psychiatry|Clinical|Chronic|Pathology|Surgical|Tuberculosis|Gastroenterology|Seizures|Diagnosis|False|Neurology|Oncology|Ophthalmology|Erythema',207P00000X,1
51687,85012,'Online Medical Journal','https://www.infectiousdiseaseadvisor.com/home/topics/covid19/mixed-results-for-paxlovid-in-standard-risk-patients-with-covid-19/?utm_source=newsletter&utm_medium=email&utm_campaign=NWSLT_IDA_UPDT_062222_JM&hmEmail=qeoIMjolHVQK0CUGyAoIeu3nOX5\%2FWOlA&hmSubId=pqFTUuPOGOo\%3D&NID=&elqTrackId=e3e7472aa24848f5b776f0dfa4cae5e5&elq=9de7116f71f541dba8e2e87ece9b457f&elqaid=353&elqat=1&elqCampaignId=194','covid|pain|disease|central nervous system infections|covid-19|hepatitis|oncology|cardiology|mild to moderate|the|general|respiratory tract infections|clinical|hematology|nervous system|dermatology|cardiovascular infections|urology|eye infections|sepsis|',2084P0800X,1
33991,71203,'Online Medical Journal',https://www.grantsformedical.com/scholarships-for-recovering-addicts.html,'Physicians|Health|Dentistry|Small|Educational|Dermatology|Dental|Mental Health|False|Vocational|Clinical|Technology|Surgery|Hospitals',207RR0500X,1
90731,19107,'Online Medical Journal',https://www.cancertherapyadvisor.com/home/decision-support-in-medicine/hematology/viral-infections-after-bone-marrow-transplant/,'Seasonal|General|Cardiology|Medicine|Large|Oncology|Bone Marrow|Lung|Biopsy|Drainage|Infected|Acquired|CNS|Transplantation|Intravenous|Total|Neurology|Seizures|Liver|Clinical|Molecular|Diagnosis|False|Dermatology|Psychiatry|Oral|Endocrine|Small|Respiratory Tract|Rheumatology|Urology|Chronic|Nervous System|Nephritis|Gastroenterology|Ophthalmology',207Q00000X,1
49197,17403,'Online Medical Journal',https://www.cureus.com/articles/98184-biliary-duct-hamartomas-a-systematic-review,'Tachycardia|Trauma|Acquired|Neurological Surgery|Psychiatry|Polyneuropathy|Autoimmune|Bariatric Surgery|Congenital|Clinical|Dentistry|Radiography|Surgical|Intrahepatic|Small|Neoplastic|Papillary|Anesthesiology|Orthopedics|Medicine|Liver Transplantation|Transplantation|Cardiac|Chronic|Oral|Pathology|Cardiology|Nuclear Medicine|General Practice|Shock|Bile Ducts|Genetic|Large|Total|Dermatology|Physical Medicine & Rehabilitation|Preventive Medicine|Rheumatology|Lung|Thyroid Cancer|Male|Ophthalmology|Otolaryngology|Surgery|Physicians|Liver|Hamartoma|Health|Biopsy|Technology|False|Female|Oncology|Pancreas|Cysts|Specialties|Rehabilitation|Intravenous|Diagnosis|Preventive|Gastroenterology|Urology|Elderly|Emergency Medicine|Critical Care|Resuscitation|General|Tuberculosis|Infected|Neurology|Pediatrics',208000000X,1
94054,13210,'Online Medical Journal',https://www.dermatologyadvisor.com/home/decision-support-in-medicine/dermatology/porocarcinoma-malignant-poroma-eccrine-porocarcinoma-apocrine-porocarcinoma-malignant-eccrine-poroma/,Keratosis|Biopsy|Clinical|Chronic|Lymphedema|Trauma|Lung|Surgical|Total|False|Dermatitis|Neoplasms|Granuloma|Cardiology|General|Urology|Elderly|Medicine|Liver|Diagnosis|Dermatology|Surgery,2084P0800X,1
8211,84660,'Online Medical Journal',https://www.cancertherapyadvisor.com/home/decision-support-in-medicine/critical-care-medicine/phosphorus-and-calcium-imbalance/,'Diabetes Insipidus|False|Critical Care Medicine|Psychiatry|Seizures|Body Fluids|Child|Arrhythmia|Cardiac|Large|Trauma|Neurology|Oncology|Heart Failure|Cardiovascular|Diagnosis|Surgical|Inherited|Ophthalmology|Pediatrics|Intestine|Myocardial Infarction|Clinical|Liver|Lung|Joints|General|Endocrine|Induced|Gastroenterology|Intravenous|Hereditary|Cardiology|Medicine|Elderly|Health|Metabolic|Delivery|Granuloma|Total|Dermatology|Urology|Critical Care|Newborn|Malnutrition|Acid-Base Imbalance|Bone Diseases|Oral|Chronic|Rheumatology',2084P0800X,1
77983,76450,'Online Medical Journal',https://www.empr.com/drug/methocarbamol-750mg/,Clinical|Pediatrics|Rheumatology|Urology|Child|Health|Diagnosis|False|Ophthalmology|Metabolic|Neurology|Medicine|Endocrine|Cardiology|Dermatology|Oncology|Physicians|Cardiovascular|Technology|Oral|Gastroenterology|Pharmacology|CNS|Psychiatry,207R00000X,1
100496,34609,'Online Medical Journal',https://www.empr.com/home/news/issues-with-patient-access-to-clozapine-prompt-rems-update/?utm_source=newsletter&utm_medium=email&utm_campaign=NWLTR_MPR_TOPT_110622_RM&hmEmail=d3CYIxMo94uy24UuKGaNP1eRWY7ycbnr&sha256email=ff6867ce41af40da49feb34c74040cf4714ab8cbae7b943883a2da16d69300f7&hmSubId=&NID=,'covid|pain|disease|health|covid-19|pain management|oncology|cardiology|the|allergic|rash|general|clinical|hematology|dermatology|pediatrics|urology|child|',2084N0400X,1
91638,441066200,'Online Medical Journal',https://www.cureus.com/users/185260,'small|hospitals|emergency medicine|advanced|radiology|rheumatology|critical care|psychiatry|forensic|oncology|forensic medicine|specialties|rehabilitation|physicians|plastic surgery|trauma|educational|anesthesiology|pain management|gastroenterology|radiosurgery|acos|preventive|clinical|proton therapy|general practice|transplantation|science|urology|sports medicine|cardiac|endocrinology|pathology|dentistry|preventive medicine|internal medicine|appendicitis|nephrology|general|physical medicine & rehabilitation|neurological surgery|radiation oncology|ophthalmology|family medicine|neurology|genetic|pain|disease|otolaryngology|nuclear medicine|health|orthopedics|medicine|technology|cardiology|the|hematology|dermatology|pediatrics|radiation-induced|oral|diabetes|surgery|',390200000X,1
73806,78520,'Online Learning Portal',https://www.goodrx.com/health-topic/mental-health?utm_medium=email&utm_source=bz&utm_campaign=6375568990c88c25cf198f0a&utm_content=mw&utm_term=Nov-18-22,'Asthma|Seasonal|Psychological|Allergens|Health|Behavior|Emotions|Autoimmune|Anxiety Disorders|Experimental|Trauma|Atrial Fibrillation|Medicine|Elderly|Large|Delivery|Total|Digestive Tract|Small|Chronic|Thyroid Cancer|Insomnia|Health Services|Child|Mental Health|Flu|Diagnosis|False|Surgery',2084N0400X,1
92750,29115,'Online Medical Journal',https://www.infectiousdiseaseadvisor.com/home/topics/covid19/nasal-spray-with-iota-carrageenan-decreases-risk-for-covid-19-in-exposed-healthcare-workers/,'General|Controlled|Cardiology|Oncology|Psychiatry|Rheumatology|Diagnosis|Preventive|Total|Gastroenterology|Ophthalmology|Urology|Medicine|False|Neurology|Clinical|Dermatology|Preventive Medicine',2084P0800X,1
94457,92103,'Online Medical Journal',https://www.grantsformedical.com/grants-for-parents-with-a-disabled-child.html,'Mental Health|Hospitals|Physicians|Dental|Dermatology|Clinical|Health|Child|Dentistry|False|Surgery|Congenital|Small',2084N0400X,1
25090,85037,'Online Medical Journal',https://www.gastroenterologyadvisor.com/general-gastroenterology/patient-factors-associated-with-appendectomy-within-30-days-of-antibiotics/?utm_source=jungroup&utm_medium=ppc&utm_campaign=traffic-drivers-gastro&wtu_id_h=9cbeb13e86b5cb4c67501bd451e37da1,'Biliary Tract|Stomach|Metabolic|Neoplasms|Oncology|Anxiety Disorders|Surgery|Dermatology|Gastroenterology|Psychiatry|Liver|Clinical|Transplantation|Hepatic Transplantation|General|Total|Ophthalmology|Rheumatology|Sleep Disorders|Esophagus|Cardiology|False|Urology|Chronic|Neurology|Medicine|Pancreas',2084P0800X,1
102785,48060,'Online Medical Journal',https://www.rheumatologyadvisor.com/home/news/early-screening-and-management-of-cardiovascular-risk-factors-important-in-psoriatic-arthritis-and-ankylosing-spondylitis/?utm_source=jungroup&utm_medium=ppc&utm_campaign=traffic-drivers-rheum&rwdd=1,Arthritis|Urology|Oncology|Rheumatology|Clinical|Total|Medicine|Cardiology|Neurology|Cardiovascular|Gastroenterology|Psychiatry|General|Ophthalmology|False|Rheumatoid|Dermatology,207Q00000X,1
61141,207353358,'Online Medical Journal',https://www.2minutemedicine.com/patient-basics-inguinal-hernia/,Anesthesia|Clinical|Small|Medicine|Premature|Overweight|Synthetic|False|Surgery|Hospitals|Hyperthyroidism|Newborns|Diagnosis|Large|Physicians|Health|Total|General|Surgical|Intestine|Child,207T00000X,1
101508,51041,'Online Medical Journal',https://www.cancertherapyadvisor.com/slideshow/clinical-quiz/case-study-a-67-year-old-with-stage-iv-melanoma/,Controlled|Pathology|General|Dermatology|Oncology|Endocrine|Chronic|Induced|Psychiatry|Urology|False|Cardiology|Rheumatology|Clinical|Neurology|Medicine|Liver|Male|Lung|Biopsy|Diagnosis|Gastroenterology|Ophthalmology,207Q00000X,1
89230,981339451,'Online Medical Journal',https://www.2minutemedicine.com/my-account-2/lost-password/?reset-link-sent=true,'Physicians|Neurology|Rheumatology|Dissection|Small|Gastroenterology|Psychiatry|Specialties|Pathology|Dermatology|Heart Failure|Health|Cardiovascular|Medicine|Genetic|Large|False|Ophthalmology|Pediatrics|Cardiomyopathy|Clinical|Chronic|Total|Cardiology|Oncology|Hospitals|Surgery',207W00000X,1
3887,8731,'Online Medical Journal',https://www.gastroenterologyadvisor.com/general-gastroenterology/patient-factors-associated-with-appendectomy-within-30-days-of-antibiotics/?utm_source=jungroup&utm_medium=ppc&utm_campaign=traffic-drivers-gastro&wtu_id_h=9cbeb13e86b5cb4c67501bd451e37da1,'Biliary Tract|Stomach|Metabolic|Neoplasms|Oncology|Anxiety Disorders|Surgery|Dermatology|Gastroenterology|Psychiatry|Liver|Clinical|Transplantation|Hepatic Transplantation|General|Total|Ophthalmology|Rheumatology|Sleep Disorders|Esophagus|Cardiology|False|Urology|Chronic|Neurology|Medicine|Pancreas',2084P0800X,1
94559,60614,'Online Medical Journal',https://www.rarediseaseadvisor.com/features/researchers-exploring-multiple-mechanisms-of-action-for-treating-aatd/,'hepatology|bronchiectasis|oncology|copd|thyroid carcinoma|cystic fibrosis|pulmonary fibrosis|pulmonary arterial hypertension|neutrophils|pain|disease|pulmonary disease|multiple sclerosis|neuromyelitis optica|health|idiopathic pulmonary fibrosis|cardiology|the|clinical|hematology|dermatology|sinus|carcinoma|transplantation|urology|hypertension|chronic obstructive pulmonary disease|',207R00000X,1
23268,275115600,'Online Medical Journal',https://www.cureus.com/articles/71925-trigeminal-neuropathy-ascribed-to-a-probable-intrinsic-brainstem-schwannoma-of-the-pons-a-case-report,'Emergency Medicine|Multiple Sclerosis|Rehabilitation|Cardiac|Clinical|Anemia|Pathology|Oncology|Urology|General Practice|Neurology|Critical Care|Health|Neoplastic|Intrinsic|Ophthalmology|Orthopedics|Biopsy|Transplantation|Surgical|False|Neurological Surgery|Specialties|General|Dentistry|Small|Anesthesiology|Nuclear Medicine|Pediatrics|Physical Medicine & Rehabilitation|Medicine|Dermatology|Gastroenterology|Psychiatry|Diagnosis|Technology|Oral|Preventive|Large|Surgery|Resuscitation|Trauma|Female|Cardiology|Otolaryngology|Preventive Medicine|Rheumatology',207W00000X,1
112776,6410,'Online Medical Journal','https://www.gastroenterologyadvisor.com/microbiome/fecal-microbiota-transplantation-vancomycin-efficacious-for-clostridioides-difficile-infection/?utm_source=newsletter&utm_medium=email&utm_campaign=NWLTR_GAS_UPDT_100722_RM&hmEmail=Wow6gQTk6Cc9JSBWXX\%2Fu5YKmz9R2geZa&sha256email=10aad551ed561cfd867cd5684b9c4e391ec1e291f3fb3b00c7ae33d17a8d7f18&hmSubId=&NID=1679521363','Pancreas|Liver|Clinical|Urology|Hepatology|General|Controlled|Esophagus|Total|Gastroenterology|Stomach|False|Biliary Tract|Transplantation|Diagnosis|Cardiology|Aged|Medicine|Oral',207RG0100X,1
92954,14450,'Online Medical Journal',https://www.dermatologyadvisor.com/home/decision-support-in-medicine/dermatology/lichenoid-drug-eruptions/,'Dermatitis|Psychiatry|Total|General|Clinical|Surgical|Refractory|Dental|Ophthalmology|Rheumatology|Dermatology|Biopsy|False|Cardiology|Urology|Chronic|Induced|Pathology|Dendritic Cells|Medicine|Elderly|Dermatomyositis|Diagnosis|Oral|Gastroenterology|Bone Marrow|Erythema|Angiotensin|Neurology|Oncology',207N00000X,1
36668,10956,'Online Medical Journal',https://www.renalandurologynews.com/home/news/urology/prostate-cancer/survival-outcomes-in-gleason-9-10-pca-similar-with-radiation-surgery/,Cardiovascular|Clinical|Rheumatology|Transplantation|Total|Medicine|General|Cardiology|Neurology|Oncology|Ophthalmology|Surgery|Premature|Biopsy|Anemia|Nephritis|Psychiatry|False|Chronic|Reproductive|Gastroenterology|Health|Dermatology|Urology,2084P0800X,1
38170,83455,'Online Medical Journal',https://www.renalandurologynews.com/home/news/nephrology/chronic-kidney-disease-ckd/sodium-glucose-cotransporter-2-inhibitors-underprescribed-for-ckd/,'General|Clinical|Cardiology|Transplantation|Reproductive|Psychiatry|Chronic|Male|Ophthalmology|Heart Failure|Rheumatology|False|Gastroenterology|Urology|Medicine|Angiotensin|Total|Health|Anemia|Nephritis|Neurology|Cardiovascular|Premature|Dermatology|Oncology',207Q00000X,1
93709,14202,'Online Medical Journal',https://www.medicalbag.com/,'Genetic|Large|Autoimmune|Health|False|Abortion|Dermatology|Ophthalmology|Heart Failure|Technology|Trauma|Surgery|Flu|Clinical|Lung Abscess|Analgesia|Oncology|Lung|Rheumatoid|Cardiovascular|Anemia|Hereditary|Cardiology|Rheumatology|Abscess|Arthritis|Anesthesia|Lung Diseases|Medicine|Dermatitis|Biliary Tract|Congenital|Oral|Neurology|Molecular|Physicians|Liver|Asthma|Ruptured|Angioedema|Diagnosis|Gastroenterology|Psychiatry|Urology',2084P0805X,1
23868,378573155,'Online Medical Journal',https://www.clinicaladvisor.com/home/features/clinical-challenge/clinical-challenge-progression-palpable-purpura-bullous-plaques/,Erythema|Biopsy|False|Rheumatology|Hepatology|Asthma|Clinical|Dermatology|Ophthalmology|Surgery|Medicine|Liver|Small|Rheumatoid|Neutrophils|Gastroenterology|Neurology|Oncology|Orthopedics|Psychiatry|Cardiovascular|Cardiology|Health|Diagnosis|Urology|General|Pediatrics,363AM0700X,1
53577,64184,'Online Medical Journal',https://www.medicalbag.com/,'Genetic|Large|Autoimmune|Health|False|Abortion|Dermatology|Ophthalmology|Heart Failure|Technology|Trauma|Surgery|Flu|Clinical|Lung Abscess|Analgesia|Oncology|Lung|Rheumatoid|Cardiovascular|Anemia|Hereditary|Cardiology|Rheumatology|Abscess|Arthritis|Anesthesia|Lung Diseases|Medicine|Dermatitis|Biliary Tract|Congenital|Oral|Neurology|Molecular|Physicians|Liver|Asthma|Ruptured|Angioedema|Diagnosis|Gastroenterology|Psychiatry|Urology',2084N0400X,1
72749,434022646,'Online Medical Journal',https://www.grantsformedical.com/scholarships-for-recovering-addicts.html,'Physicians|Health|Dentistry|Small|Educational|Dermatology|Dental|Mental Health|False|Vocational|Clinical|Technology|Surgery|Hospitals',207Q00000X,1
5673,700026320,'Online Learning Portal',https://www.goodrx.com/healthcare-access/patient-experiences/living-with-long-covid-amy-watson,'Medicine|Anesthesia|Tachycardia|Digestive Tract|Mental Health|Deep Brain Stimulation|Surgical|Nervous System|Rheumatoid|Stomach|Emotions|Lymphedema|General|Thyroid Cancer|Liver|Autoimmune|Surgery|Child|Asthma|Allergic|Seasonal|Diagnosis|Preschool|Total|Multiple Sclerosis|Large|Induced|Female|Insomnia|Interventional Cardiology|Arthritis|Joints|Flu|Chronic|Delivery|Allergens|Health|False|Infected|Reproductive|Cardiology|Atrial Fibrillation|Physicians|Aged|Dental|Clinical|Oncology',204D00000X,1
32371,94142,'Online Medical Journal','https://www.infectiousdiseaseadvisor.com/home/topics/covid19/long-covid-symptoms-1-year-after-onset-more-likely-in-older-adults-women/?utm_source=eloqua&utm_medium=email&utm_campaign=NWLTR_IDA_UPDT_RSS-Proclivity-8265_121922_AF&hmEmail=3vmcNty1xJx9ZEM\%2BJonTCU24hr65Pv0ivjzxpu4Jc\%2Fjf353XwuoHYw\%3D\%3D&sha256email=240debb755180c200bdad01a8e378103e5bccd1e4d1d75d20394d6b616ea514e&hmSubId=&NID=1609962158&elqTrack=True','covid|sleep disorders|pain|disease|central nervous system infections|health|fever|covid-19|hepatitis|oncology|cardiology|the|general|anxiety|respiratory tract infections|clinical|hematology|nervous system|dermatology|cardiovascular infections|urology|headache|eye infections|sepsis|',363LA2100X,1
102312,33602,'Online Medical Journal',https://www.clinicaladvisor.com/home/features/clinical-challenge/a-simple-case-of-cellulitis-on-the-third-finger-is-a-lot-more/,'Diagnosis|False|Orthopedics|Health|Clinical|Cardiology|Neurology|Cardiovascular|Dermatology|Oncology|Ophthalmology|Urology|Medicine|General|Rheumatology|Asthma|Drainage|Lymphedema|Trauma|Gastroenterology|Psychiatry|Surgery|Emergency Medicine|Small|Pediatrics|Hepatology|Cellulitis|Surgical',2084P0800X,1
72201,980555738,'Online Medical Journal',https://www.grantsformedical.com/grants-for-parents-with-a-disabled-child.html,'Mental Health|Hospitals|Physicians|Dental|Dermatology|Clinical|Health|Child|Dentistry|False|Surgery|Congenital|Small',2084N0400X,1
20253,75235,'Online Medical Journal','https://www.empr.com/home/news/drugs-in-the-pipeline/fda-to-review-bla-for-pentavalent-meningococcal-vaccine/?utm_source=newsletter&utm_medium=email&utm_campaign=NWLTR_MPR_DAYD_010323_RM&hmEmail=vCpihboEP45FRKh4\%2BI2bSK0NA6IXtyO3&sha256email=f7765e39d0277d6070a44c6e1ce053fe749b2872d9529d3d9d96ed280ba83e72&hmSubId=&NID=1629177522','covid|pain|disease|vaccines|health|covid-19|pain management|bacterial infections|oncology|cardiology|the|allergic|rash|vaccine|clinical|hematology|dermatology|pediatrics|urology|child|',207SG0203X,1
73761,10308,'Online Medical Journal',https://www.renalandurologynews.com/home/news/urology/prostate-cancer/psa-doubling-time-predicts-metastasis-mortality-risks-in-crpc/,Cardiovascular|Chronic|Cardiology|Ophthalmology|Psychiatry|Health|Premature|Clinical|Transplantation|Dermatology|Hospitals|General|Reproductive|Neurology|Medicine|Anemia|False|Total|Oncology|Rheumatology|Nephritis|Gastroenterology|Urology,2084P0800X,1
26188,35801,'Online Medical Journal',https://www.gastroenterologyadvisor.com/general-gastroenterology/patient-factors-associated-with-appendectomy-within-30-days-of-antibiotics/?utm_source=jungroup&utm_medium=ppc&utm_campaign=traffic-drivers-gastro&wtu_id_h=9cbeb13e86b5cb4c67501bd451e37da1,'Biliary Tract|Stomach|Metabolic|Neoplasms|Oncology|Anxiety Disorders|Surgery|Dermatology|Gastroenterology|Psychiatry|Liver|Clinical|Transplantation|Hepatic Transplantation|General|Total|Ophthalmology|Rheumatology|Sleep Disorders|Esophagus|Cardiology|False|Urology|Chronic|Neurology|Medicine|Pancreas',2084P0800X,1
101801,60193,'Online Medical Journal','https://www.clinicaladvisor.com/slideshow/derm-dx/dermdx-dome-like-pigmented-lesion/?utm_source=newsletter&utm_medium=email&utm_campaign=NWLTR_CAD_DermDx_Ilumya_022523_RM&hmEmail=CkLqZCHAfnQoYPz50jzdk0ZdqQBlN9L3\%2BQLKQwZXptPz7X6ZygwGrg\%3D\%3D&sha256email=f0912cacb455baf8c2c259bb349a2890444172beb5ff1447cd194c438b0bbe55&hmSubId=&NID=1629369467&elqTrackId=b9308f113c7542f08a7add1a232defa0&elq=d22023b5ebb94e09a642b9ddd17a87ea&elqaid=11843&elqat=1&elqCampaignId=9988','influenza|nephrology|sarcoma|grandparents|hepatology|rheumatology|psychiatry|oncology|copd|nephrology|general|macrophages|ophthalmology|female|neurology|heart failure|pain|disease|health|diagnosis|orthopedics|medicine|asthma|pain management|gastroenterology|cardiovascular|cardiology|the|clinical|hematology|dermatology|psoriasis|pediatrics|urology|depression|diabetes|male|surgery|endocrinology|',2084P0015X,1
81752,100033314,'Online Medical Journal',https://www.pulmonologyadvisor.com/home/drug-database/,'Medicine|Tuberculosis|False|Oncology|Psychiatry|Clinical|Ophthalmology|Rheumatology|Gastroenterology|Critical Care|Asthma|Urology|Pulmonologists|Lung|Cardiology|Neurology|Health|Dermatology|Rhinitis|General',2084N0400X,1
