ID,IS_HCP,taxClass,TAXONOMY
115609,0,52,207Q00000X
115610,1,58,2084P0800X
115611,0,61,2084N0400X
115612,0,49,208000000X
115613,0,19,2084N0400X
115614,0,23,207RI0200X
115615,0,75,207R00000X
115616,1,76,2084N0400X
115617,1,77,207Q00000X
115618,1,7,2084N0400X
115619,0,78,2084N0600X
115620,1,79,207Q00000X
115621,0,80,2084P0800X
115622,0,81,2084N0400X
115623,0,28,2084N0400X
115624,0,28,2084N0400X
115625,1,82,207Q00000X
115626,1,83,2084N0400X
115627,0,84,2084P0800X
115628,1,85,207Q00000X
115629,0,20,2084P0800X
115630,0,86,207R00000X
115631,0,0,207R00000X
115632,1,17,2084P0800X
115633,0,16,2084P0800X
115634,1,87,207RP1001X
115635,0,88,2084A2900X
115636,1,89,2084P0800X
115637,1,90,2084P0800X
115638,0,0,207R00000X
115639,0,91,363A00000X
115640,0,16,2084P0800X
115641,0,0,207R00000X
115642,1,92,2084P0800X
115643,0,93,2084P0800X
115644,1,85,207Q00000X
115645,0,49,208000000X
115646,0,35,363LP0200X
115647,0,28,2084N0400X
115648,1,94,2084N0400X
115649,0,11,208000000X
115650,1,95,207P00000X
115651,1,96,207R00000X
115652,0,97,207RH0003X
115653,0,98,207Q00000X
115654,1,99,207P00000X
115655,0,0,207R00000X
115656,0,34,207RG0100X
115657,1,100,2084P0800X
115658,0,101,2084P0800X
115659,0,102,207Q00000X
115660,0,16,2084P0800X
115661,0,23,207RI0200X
115662,0,103,207N00000X
115663,1,51,2084B0040X
115664,0,104,2084P0802X
115665,1,105,207Q00000X
115666,0,106,207ND0101X
115667,0,90,2084P0800X
115668,0,107,2084N0400X
115669,0,108,2084P0800X
115670,0,109,207RI0011X
115671,1,110,2084N0400X
115672,0,31,2084N0400X
115673,0,111,2084S0012X
115674,1,112,207R00000X
115675,1,113,174400000X
115676,1,114,2084P0800X
115677,1,115,2084P0804X
115678,1,116,2084N0400X
115679,0,16,2084P0800X
115680,0,9,207Q00000X
115681,1,117,207R00000X
115682,1,83,2084N0400X
115683,0,118,207Q00000X
115684,0,34,207RG0100X
115685,1,90,2084P0800X
115686,0,0,207R00000X
115687,0,119,2084P0800X
115688,1,120,2084N0400X
115689,0,121,2084P0804X
115690,0,9,207Q00000X
115691,1,122,2084N0400X
115692,0,123,2084N0400X
115693,1,90,2084P0800X
115694,1,115,2084P0804X
115695,0,15,207RG0100X
115696,1,72,2084N0400X
115697,0,124,207Q00000X
115698,0,116,2084N0400X
115699,0,31,2084N0400X
115700,0,125,207R00000X
115701,0,116,2084N0400X
115702,1,17,2084P0800X
115703,0,126,207Q00000X
115704,0,127,2084N0400X
115705,0,31,2084N0400X
115706,0,28,2084N0400X
115707,1,128,207R00000X
115708,0,129,207RP1001X
115709,0,130,207RX0202X
115710,0,20,2084P0800X
115711,0,28,2084N0400X
115712,0,23,207RI0200X
115713,0,103,207N00000X
115714,1,115,2084P0804X
115715,0,16,2084P0800X
115716,0,16,2084P0800X
115717,0,90,2084P0800X
115718,0,15,207RG0100X
115719,1,72,2084N0400X
115720,1,131,207RP1001X
115721,0,132,207RH0003X
115722,0,133,207Q00000X
115723,0,134,2084P0800X
115724,0,135,2084P0804X
115725,1,136,2084P0804X
115726,0,3,207Q00000X
115727,0,0,207R00000X
115728,0,137,2084P0804X
115729,0,20,2084P0800X
115730,0,49,208000000X
115731,0,138,207Q00000X
115732,0,139,207Q00000X
115733,0,0,207R00000X
115734,1,17,2084P0800X
115735,0,140,363LF0000X
115736,1,141,2084N0400X
115737,0,142,390200000X
115738,0,16,2084P0800X
115739,1,29,207R00000X
115740,0,94,2084N0400X
115741,1,143,2084P0800X
115742,0,144,207R00000X
115743,1,116,2084N0400X
115744,1,46,2084N0400X
115745,0,129,207RP1001X
115746,1,145,363LF0000X
115747,0,35,363LP0200X
115748,1,66,174400000X
115749,0,146,207QS0010X
115750,1,147,207RR0500X
115751,1,17,2084P0800X
115752,1,7,2084N0400X
115753,0,9,207Q00000X
115754,0,148,2084N0400X
115755,1,149,2084N0400X
115756,0,3,207Q00000X
115757,0,150,2084P0804X
115758,1,114,2084P0800X
115759,0,3,207Q00000X
115760,1,151,207Q00000X
115761,0,16,2084P0800X
115762,0,72,2084N0400X
115763,0,26,2084P0800X
115764,0,152,2084P0800X
115765,1,116,2084N0400X
115766,1,51,2084B0040X
115767,0,103,207N00000X
115768,1,122,2084N0400X
115769,0,16,2084P0800X
115770,1,153,2084N0400X
115771,0,98,207Q00000X
115772,1,154,2084N0400X
115773,0,123,2084N0400X
115774,0,41,2084N0402X
115775,0,11,208000000X
115776,0,41,2084N0402X
115777,0,155,207T00000X
115778,0,125,207R00000X
115779,0,156,207Y00000X
115780,0,157,2084N0402X
115781,1,158,2084P0800X
115782,0,159,2084N0400X
115783,0,20,2084P0800X
115784,1,160,2084P0015X
115785,0,161,2084P0800X
115786,0,162,207N00000X
115787,0,0,207R00000X
115788,0,163,207Q00000X
115789,1,116,2084N0400X
115790,1,164,207R00000X
115791,1,59,2084N0402X
115792,0,165,207V00000X
115793,1,166,2084P0800X
115794,0,167,2084P0800X
115795,0,168,2084V0102X
115796,1,169,2080A0000X
115797,0,16,2084P0800X
115798,1,116,2084N0400X
115799,0,170,2084P0800X
115800,0,171,363L00000X
115801,0,172,207Q00000X
115802,1,173,207RC0000X
115803,0,34,207RG0100X
115804,0,174,207R00000X
115805,0,175,207N00000X
115806,0,116,2084N0400X
115807,1,59,2084N0402X
115808,1,90,2084P0800X
115809,0,20,2084P0800X
115810,0,0,207R00000X
115811,0,15,207RG0100X
115812,0,24,2084N0400X
115813,0,176,2085R0001X
115814,0,177,2084N0400X
115815,1,79,207Q00000X
115816,0,178,207RI0200X
115817,0,129,207RP1001X
115818,1,179,2084N0400X
115819,0,180,2084N0402X
115820,0,181,207RC0000X
115821,0,16,2084P0800X
115822,0,182,207R00000X
115823,0,109,207RI0011X
115824,0,11,208000000X
115825,0,130,207RX0202X
115826,0,139,207Q00000X
115827,1,183,207RH0000X
115828,0,184,2084N0400X
115829,0,185,207Q00000X
115830,0,90,2084P0800X
115831,0,186,208M00000X
115832,0,0,207R00000X
115833,0,187,207R00000X
115834,0,188,2084N0400X
115835,1,189,2084P0800X
115836,0,190,2084N0400X
115837,1,42,2084N0400X
115838,1,7,2084N0400X
115839,0,191,2084P0800X
115840,0,192,207Q00000X
115841,0,41,2084N0402X
115842,1,193,207L00000X
115843,0,28,2084N0400X
115844,0,15,207RG0100X
115845,0,86,207R00000X
115846,0,16,2084P0800X
115847,1,94,2084N0400X
115848,0,20,2084P0800X
115849,1,51,2084B0040X
115850,0,0,207R00000X
115851,0,3,207Q00000X
115852,1,194,207RG0300X
115853,0,137,2084P0804X
115854,1,195,207RR0500X
115855,1,196,2084P0800X
115856,0,0,207R00000X
115857,0,55,2084N0400X
115858,0,0,207R00000X
115859,0,70,207RC0000X
115860,0,197,2084P0800X
115861,1,153,2084N0400X
115862,0,128,207R00000X
115863,1,198,363LA2100X
115864,1,199,207Q00000X
115865,0,197,2084P0800X
115866,1,200,207Q00000X
115867,0,201,2084P0800X
115868,0,202,207P00000X
115869,0,203,2084N0400X
115870,1,141,2084N0400X
115871,0,123,2084N0400X
115872,0,204,207R00000X
115873,0,16,2084P0800X
115874,1,205,207Q00000X
115875,0,27,208M00000X
115876,0,61,2084N0400X
115877,0,160,2084P0015X
115878,0,206,207R00000X
115879,0,139,207Q00000X
115880,0,207,?
115881,0,0,207R00000X
115882,0,187,207R00000X
115883,0,16,2084P0800X
115884,0,3,207Q00000X
115885,1,17,2084P0800X
115886,0,208,?
115887,0,163,207Q00000X
115888,0,15,207RG0100X
115889,0,209,?
115890,1,158,2084P0800X
115891,0,11,208000000X
115892,1,79,207Q00000X
115893,1,130,207RX0202X
115894,0,123,2084N0400X
115895,0,0,207R00000X
115896,0,210,?
115897,1,153,2084N0400X
115898,1,115,2084P0804X
115899,0,41,2084N0402X
115900,0,90,2084P0800X
115901,0,150,2084P0804X
115902,0,139,207Q00000X
115903,0,15,207RG0100X
115904,1,211,?
115905,1,212,?
115906,0,128,207R00000X
115907,0,213,?
115908,1,214,?
115909,0,203,2084N0400X
115910,0,16,2084P0800X
115911,0,15,207RG0100X
115912,0,215,?
115913,0,0,207R00000X
115914,0,216,?
115915,1,29,207R00000X
115916,1,217,?
115917,1,48,2084P0800X
115918,1,73,207RP1001X
115919,0,40,208000000X
115920,1,73,207RP1001X
115921,0,21,2084N0400X
115922,0,23,207RI0200X
115923,0,8,174400000X
115924,1,218,?
115925,0,61,2084N0400X
115926,0,15,207RG0100X
115927,0,3,207Q00000X
115928,0,16,2084P0800X
115929,1,219,?
115930,0,220,?
115931,0,188,2084N0400X
115932,1,29,207R00000X
115933,0,221,?
115934,1,7,2084N0400X
115935,1,222,?
115936,0,223,?
115937,0,40,208000000X
115938,0,224,?
115939,0,28,2084N0400X
115940,0,0,207R00000X
115941,0,49,208000000X
115942,1,73,207RP1001X
115943,0,27,208M00000X
115944,1,225,?
115945,0,139,207Q00000X
115946,0,226,?
115947,1,139,207Q00000X
115948,0,31,2084N0400X
115949,1,227,?
115950,1,59,2084N0402X
115951,0,61,2084N0400X
115952,0,128,207R00000X
115953,0,16,2084P0800X
115954,0,224,?
115955,1,228,?
115956,0,93,2084P0800X
115957,1,189,2084P0800X
115958,1,128,207R00000X
115959,1,229,?
115960,0,15,207RG0100X
115961,0,230,?
115962,1,59,2084N0402X
115963,1,158,2084P0800X
115964,1,73,207RP1001X
115965,0,16,2084P0800X
115966,1,231,?
115967,0,203,2084N0400X
115968,1,59,2084N0402X
115969,0,163,207Q00000X
115970,1,232,?
115971,0,23,207RI0200X
115972,0,3,207Q00000X
115973,1,115,2084P0804X
115974,1,205,207Q00000X
115975,1,233,?
115976,0,0,207R00000X
115977,0,134,2084P0800X
115978,0,234,?
115979,1,114,2084P0800X
115980,0,0,207R00000X
115981,0,0,207R00000X
115982,1,2,2084N0400X
115983,0,78,2084N0600X
115984,0,123,2084N0400X
115985,1,158,2084P0800X
115986,0,235,?
115987,0,15,207RG0100X
115988,0,27,208M00000X
115989,1,160,2084P0015X
115990,1,236,?
115991,0,237,?
115992,1,238,?
115993,0,16,2084P0800X
115994,0,3,207Q00000X
115995,0,239,?
115996,0,240,?
115997,1,241,?
115998,1,29,207R00000X
115999,0,242,?
116000,0,9,207Q00000X
116001,0,130,207RX0202X
116002,0,243,?
116003,0,0,207R00000X
116004,1,59,2084N0402X
116005,0,244,?
116006,0,245,?
116007,0,16,2084P0800X
116008,1,246,?
116009,0,247,?
116010,1,99,207P00000X
116011,0,248,?
116012,0,125,207R00000X
116013,0,80,2084P0800X
116014,0,37,363A00000X
116015,1,249,?
116016,1,250,?
116017,0,251,?
116018,0,252,?
116019,0,253,?
116020,0,11,208000000X
116021,0,49,208000000X
116022,0,190,2084N0400X
116023,0,182,207R00000X
116024,1,254,?
116025,0,174,207R00000X
116026,0,174,207R00000X
116027,1,92,2084P0800X
116028,0,0,207R00000X
116029,1,255,?
116030,1,256,?
116031,1,257,?
116032,0,258,?
116033,1,59,2084N0402X
116034,1,259,?
116035,1,179,2084N0400X
116036,0,135,2084P0804X
116037,0,23,207RI0200X
116038,0,240,?
116039,1,51,2084B0040X
116040,0,0,207R00000X
116041,1,260,?
116042,1,261,?
116043,0,23,207RI0200X
116044,1,262,?
116045,0,159,2084N0400X
116046,1,96,207R00000X
116047,1,263,?
116048,1,115,2084P0804X
116049,1,51,2084B0040X
116050,0,135,2084P0804X
116051,1,264,?
116052,0,150,2084P0804X
116053,1,153,2084N0400X
116054,0,41,2084N0402X
116055,1,265,?
116056,0,40,208000000X
116057,0,20,2084P0800X
116058,0,16,2084P0800X
116059,0,0,207R00000X
116060,0,266,?
116061,0,20,2084P0800X
116062,0,267,?
116063,1,116,2084N0400X
116064,0,268,?
116065,0,98,207Q00000X
116066,0,269,?
116067,0,16,2084P0800X
116068,0,167,2084P0800X
116069,0,270,?
116070,0,206,207R00000X
116071,1,90,2084P0800X
116072,1,271,?
116073,0,272,?
116074,1,141,2084N0400X
116075,0,16,2084P0800X
116076,1,29,207R00000X
116077,0,0,207R00000X
116078,1,222,?
116079,0,273,?
116080,1,147,207RR0500X
116081,0,9,207Q00000X
116082,0,125,207R00000X
116083,0,116,2084N0400X
116084,0,274,?
116085,1,29,207R00000X
116086,0,31,2084N0400X
116087,1,275,?
116088,0,137,2084P0804X
116089,0,19,2084N0400X
116090,1,276,?
116091,0,0,207R00000X
116092,0,28,2084N0400X
116093,0,23,207RI0200X
116094,0,86,207R00000X
116095,1,114,2084P0800X
116096,1,219,?
116097,0,187,207R00000X
116098,0,98,207Q00000X
116099,0,185,207Q00000X
116100,1,29,207R00000X
116101,0,49,208000000X
116102,0,16,2084P0800X
116103,1,222,?
116104,0,41,2084N0402X
116105,1,277,?
116106,1,278,?
116107,1,47,2084N0600X
116108,1,114,2084P0800X
116109,1,95,207P00000X
116110,0,103,207N00000X
116111,0,279,?
116112,0,23,207RI0200X
116113,0,103,207N00000X
116114,1,115,2084P0804X
116115,1,280,?
116116,1,281,?
116117,0,16,2084P0800X
116118,0,103,207N00000X
116119,0,234,?
116120,1,42,2084N0400X
116121,1,282,?
116122,0,19,2084N0400X
116123,0,210,?
116124,0,283,?
116125,0,284,?
116126,1,115,2084P0804X
116127,0,206,207R00000X
116128,0,285,?
116129,1,51,2084B0040X
116130,0,286,?
116131,0,287,?
116132,0,243,?
116133,0,0,207R00000X
116134,0,288,?
116135,0,80,2084P0800X
116136,1,29,207R00000X
116137,0,289,?
116138,0,16,2084P0800X
116139,0,93,2084P0800X
116140,1,290,?
116141,0,9,207Q00000X
116142,0,16,2084P0800X
116143,0,20,2084P0800X
116144,1,2,2084N0400X
116145,1,291,?
116146,1,292,?
116147,0,48,2084P0800X
116148,0,175,207N00000X
116149,1,90,2084P0800X
116150,0,20,2084P0800X
116151,0,0,207R00000X
116152,1,143,2084P0800X
116153,1,143,2084P0800X
116154,0,31,2084N0400X
116155,0,16,2084P0800X
116156,1,293,?
116157,1,294,?
116158,1,51,2084B0040X
116159,1,295,?
116160,1,296,?
116161,0,297,?
116162,1,51,2084B0040X
116163,1,90,2084P0800X
116164,1,90,2084P0800X
116165,0,61,2084N0400X
116166,0,28,2084N0400X
116167,0,298,?
116168,0,38,207RE0101X
116169,0,16,2084P0800X
116170,0,34,207RG0100X
116171,0,80,2084P0800X
116172,0,299,?
116173,0,300,?
116174,0,301,?
116175,0,16,2084P0800X
116176,0,3,207Q00000X
116177,0,16,2084P0800X
116178,0,273,?
116179,0,3,207Q00000X
116180,0,15,207RG0100X
116181,0,9,207Q00000X
116182,0,3,207Q00000X
116183,0,86,207R00000X
116184,1,42,2084N0400X
116185,0,0,207R00000X
116186,1,302,?
116187,0,90,2084P0800X
116188,0,3,207Q00000X
116189,1,136,2084P0804X
116190,0,3,207Q00000X
116191,0,27,208M00000X
116192,0,303,?
116193,1,96,207R00000X
116194,0,3,207Q00000X
116195,0,9,207Q00000X
116196,1,72,2084N0400X
116197,1,7,2084N0400X
116198,0,0,207R00000X
116199,0,304,?
116200,0,242,?
116201,0,20,2084P0800X
116202,1,305,?
116203,1,306,?
116204,1,307,?
116205,0,207,?
116206,0,31,2084N0400X
116207,0,16,2084P0800X
116208,1,59,2084N0402X
116209,0,308,?
116210,0,9,207Q00000X
116211,0,3,207Q00000X
116212,0,93,2084P0800X
116213,0,16,2084P0800X
116214,0,309,?
116215,1,90,2084P0800X
116216,1,205,207Q00000X
116217,1,72,2084N0400X
116218,1,310,?
116219,1,311,?
116220,0,103,207N00000X
116221,0,23,207RI0200X
116222,1,141,2084N0400X
116223,0,3,207Q00000X
116224,0,182,207R00000X
116225,1,85,207Q00000X
116226,0,20,2084P0800X
116227,0,9,207Q00000X
116228,1,312,?
116229,1,29,207R00000X
116230,0,15,207RG0100X
116231,1,158,2084P0800X
116232,0,0,207R00000X
116233,1,7,2084N0400X
116234,0,27,208M00000X
116235,0,313,?
116236,1,58,2084P0800X
116237,0,314,?
116238,0,0,207R00000X
116239,1,315,?
116240,1,316,?
116241,0,15,207RG0100X
116242,0,317,?
116243,1,116,2084N0400X
116244,0,318,?
116245,0,16,2084P0800X
116246,1,319,?
116247,1,115,2084P0804X
116248,0,0,207R00000X
116249,1,47,2084N0600X
116250,0,9,207Q00000X
116251,0,320,?
116252,1,46,2084N0400X
116253,0,139,207Q00000X
116254,0,321,?
116255,1,322,?
116256,1,323,?
116257,0,324,?
116258,1,212,?
116259,1,261,?
116260,1,115,2084P0804X
116261,0,86,207R00000X
116262,0,15,207RG0100X
116263,0,3,207Q00000X
116264,1,59,2084N0402X
116265,1,325,?
116266,0,40,208000000X
116267,0,88,2084A2900X
116268,0,182,207R00000X
116269,1,59,2084N0402X
116270,0,16,2084P0800X
116271,0,130,207RX0202X
116272,0,0,207R00000X
116273,0,326,?
116274,0,0,207R00000X
116275,0,172,207Q00000X
116276,0,243,?
116277,0,9,207Q00000X
116278,0,20,2084P0800X
116279,1,130,207RX0202X
116280,0,54,2084N0400X
116281,1,48,2084P0800X
116282,0,327,?
116283,0,320,?
116284,1,147,207RR0500X
116285,0,328,?
116286,0,329,?
116287,0,98,207Q00000X
116288,0,330,?
116289,0,331,?
116290,0,332,?
116291,0,333,?
116292,0,334,?
116293,0,16,2084P0800X
116294,0,20,2084P0800X
116295,0,335,?
116296,1,90,2084P0800X
116297,0,125,207R00000X
116298,1,68,207Q00000X
116299,0,0,207R00000X
116300,0,9,207Q00000X
116301,0,103,207N00000X
116302,1,29,207R00000X
116303,0,20,2084P0800X
116304,0,206,207R00000X
116305,0,206,207R00000X
116306,0,336,?
116307,0,16,2084P0800X
116308,0,0,207R00000X
116309,1,219,?
116310,1,59,2084N0402X
116311,1,66,174400000X
116312,0,16,2084P0800X
116313,1,337,?
116314,0,90,2084P0800X
116315,0,90,2084P0800X
116316,0,91,363A00000X
116317,0,338,?
116318,0,116,2084N0400X
116319,0,144,207R00000X
116320,1,339,?
116321,0,340,?
116322,1,115,2084P0804X
116323,0,15,207RG0100X
116324,1,341,?
116325,0,342,?
116326,1,343,?
116327,0,15,207RG0100X
116328,1,276,?
116329,1,344,?
116330,1,345,?
116331,0,15,207RG0100X
116332,1,346,?
116333,0,103,207N00000X
116334,0,5,2084P0800X
116335,0,206,207R00000X
116336,0,329,?
116337,0,103,207N00000X
116338,1,29,207R00000X
116339,1,347,?
116340,0,0,207R00000X
116341,0,49,208000000X
116342,1,348,?
116343,1,349,?
116344,0,16,2084P0800X
116345,0,125,207R00000X
116346,0,135,2084P0804X
116347,1,350,?
116348,0,15,207RG0100X
116349,0,0,207R00000X
116350,1,51,2084B0040X
116351,1,29,207R00000X
116352,0,16,2084P0800X
116353,0,80,2084P0800X
116354,0,351,?
116355,0,67,207RH0003X
116356,1,158,2084P0800X
116357,0,55,2084N0400X
116358,0,134,2084P0800X
116359,1,7,2084N0400X
116360,1,115,2084P0804X
116361,0,248,?
116362,0,3,207Q00000X
116363,0,329,?
116364,1,166,2084P0800X
116365,0,284,?
116366,1,115,2084P0804X
116367,1,232,?
116368,0,16,2084P0800X
116369,0,283,?
116370,0,352,?
116371,0,16,2084P0800X
116372,0,40,208000000X
116373,0,353,?
116374,0,354,?
116375,0,0,207R00000X
116376,1,46,2084N0400X
116377,0,16,2084P0800X
116378,0,16,2084P0800X
116379,1,2,2084N0400X
116380,0,355,?
116381,0,3,207Q00000X
116382,0,3,207Q00000X
116383,0,182,207R00000X
116384,1,115,2084P0804X
116385,0,3,207Q00000X
116386,0,0,207R00000X
116387,1,42,2084N0400X
116388,0,356,?
116389,0,9,207Q00000X
116390,0,357,?
116391,0,20,2084P0800X
116392,1,141,2084N0400X
116393,1,46,2084N0400X
116394,0,358,?
116395,0,0,207R00000X
116396,0,9,207Q00000X
116397,0,129,207RP1001X
116398,0,31,2084N0400X
116399,1,359,?
116400,0,16,2084P0800X
116401,0,61,2084N0400X
116402,0,360,?
116403,1,294,?
116404,0,361,?
116405,0,0,207R00000X
116406,1,77,207Q00000X
116407,0,49,208000000X
116408,0,0,207R00000X
116409,1,46,2084N0400X
116410,0,16,2084P0800X
116411,0,9,207Q00000X
116412,0,362,?
116413,0,0,207R00000X
116414,1,363,?
116415,1,364,?
116416,0,0,207R00000X
116417,1,128,207R00000X
116418,0,40,208000000X
116419,0,329,?
116420,0,146,207QS0010X
116421,0,365,?
116422,1,364,?
116423,0,3,207Q00000X
116424,0,366,?
116425,0,9,207Q00000X
116426,0,3,207Q00000X
116427,1,77,207Q00000X
116428,0,329,?
116429,0,23,207RI0200X
116430,1,2,2084N0400X
116431,0,191,2084P0800X
116432,0,40,208000000X
116433,1,114,2084P0800X
116434,1,367,?
116435,1,368,?
116436,1,141,2084N0400X
116437,0,15,207RG0100X
116438,0,369,?
116439,0,370,?
116440,0,15,207RG0100X
116441,0,321,?
116442,0,5,2084P0800X
116443,1,371,?
116444,0,372,?
116445,0,373,?
116446,0,207,?
116447,1,374,?
116448,0,129,207RP1001X
116449,0,6,2085R0203X
116450,0,16,2084P0800X
116451,0,133,207Q00000X
116452,0,0,207R00000X
116453,0,97,207RH0003X
116454,0,324,?
116455,0,0,207R00000X
116456,1,115,2084P0804X
116457,1,282,?
116458,0,139,207Q00000X
116459,0,9,207Q00000X
116460,0,375,?
116461,0,190,2084N0400X
116462,1,376,?
116463,0,0,207R00000X
116464,1,377,?
116465,0,182,207R00000X
116466,1,378,?
116467,0,129,207RP1001X
116468,0,19,2084N0400X
116469,0,287,?
116470,1,379,?
116471,0,134,2084P0800X
116472,1,380,?
116473,1,178,207RI0200X
116474,0,139,207Q00000X
116475,0,135,2084P0804X
116476,1,141,2084N0400X
116477,1,153,2084N0400X
116478,0,9,207Q00000X
116479,0,192,207Q00000X
116480,1,264,?
116481,0,208,?
116482,0,365,?
116483,0,90,2084P0800X
116484,0,159,2084N0400X
116485,1,381,?
116486,1,46,2084N0400X
116487,0,103,207N00000X
116488,0,237,?
116489,0,86,207R00000X
116490,0,9,207Q00000X
116491,1,382,?
116492,0,383,?
116493,0,0,207R00000X
116494,1,137,2084P0804X
116495,0,174,207R00000X
116496,1,29,207R00000X
116497,0,98,207Q00000X
116498,1,384,?
116499,0,28,2084N0400X
116500,0,21,2084N0400X
116501,1,385,?
116502,1,212,?
116503,1,59,2084N0402X
116504,0,3,207Q00000X
116505,0,297,?
116506,0,16,2084P0800X
116507,0,209,?
116508,0,20,2084P0800X
116509,0,243,?
116510,0,181,207RC0000X
116511,0,15,207RG0100X
116512,0,207,?
116513,0,150,2084P0804X
116514,1,51,2084B0040X
116515,0,16,2084P0800X
116516,1,339,?
116517,1,42,2084N0400X
116518,1,73,207RP1001X
116519,0,9,207Q00000X
116520,0,49,208000000X
116521,1,2,2084N0400X
116522,1,386,?
116523,0,0,207R00000X
116524,0,283,?
116525,1,387,?
116526,0,139,207Q00000X
116527,0,317,?
116528,0,388,?
116529,0,242,?
116530,0,389,?
116531,0,390,?
116532,0,23,207RI0200X
116533,0,391,?
116534,0,283,?
116535,1,392,?
116536,0,98,207Q00000X
116537,1,115,2084P0804X
116538,0,16,2084P0800X
116539,1,325,?
116540,0,393,?
116541,1,139,207Q00000X
116542,1,115,2084P0804X
116543,0,28,2084N0400X
116544,0,394,?
116545,1,29,207R00000X
116546,1,116,2084N0400X
116547,0,395,?
116548,0,396,?
116549,0,242,?
116550,0,72,2084N0400X
116551,0,397,?
116552,1,77,207Q00000X
116553,0,103,207N00000X
116554,0,103,207N00000X
116555,0,398,?
116556,0,41,2084N0402X
116557,0,399,?
116558,0,400,?
116559,0,401,?
116560,1,128,207R00000X
116561,0,402,?
116562,1,128,207R00000X
116563,0,403,?
116564,0,404,?
116565,0,0,207R00000X
116566,1,51,2084B0040X
116567,1,205,207Q00000X
116568,1,345,?
116569,0,0,207R00000X
116570,1,115,2084P0804X
116571,1,147,207RR0500X
116572,0,15,207RG0100X
116573,0,0,207R00000X
116574,0,15,207RG0100X
116575,0,0,207R00000X
116576,0,405,?
116577,1,256,?
116578,0,41,2084N0402X
116579,0,86,207R00000X
116580,1,141,2084N0400X
116581,1,47,2084N0600X
116582,0,61,2084N0400X
116583,1,406,?
116584,0,31,2084N0400X
116585,1,407,?
116586,0,329,?
116587,0,130,207RX0202X
116588,1,115,2084P0804X
116589,0,239,?
116590,0,408,?
116591,0,409,?
116592,0,123,2084N0400X
116593,0,9,207Q00000X
116594,0,28,2084N0400X
116595,1,66,174400000X
116596,0,410,?
116597,0,15,207RG0100X
116598,0,206,207R00000X
116599,1,164,207R00000X
116600,0,411,?
116601,1,113,174400000X
116602,0,103,207N00000X
116603,0,40,208000000X
116604,0,103,207N00000X
116605,0,190,2084N0400X
116606,0,0,207R00000X
116607,1,29,207R00000X
